id_covidence,doi,pmid,pmcid,link,study,published_year,journal,title
#10470,10.1111/apa.17329,38923614,,,Tamir-Hostovsky 2024,2024,Acta Paediatr,Association of BNT162b2 SARS-CoV-2 vaccination during pregnancy with postnatal outcomes in premature infants
#6931,10.3390/medicina60060956,38929574,PMC11206152,,HospitalEspañoldePachucaResearch 2024,2024,Medicina (Kaunas),Anti-COVID-19 Vaccination Alters the Menstrual Cycle and Dose Accumulation Enhances the Effect
#7937,10.3390/vaccines12060593,38932322,PMC11209536,,Leung 2024,2024,Vaccines,Risk of Seizure Aggravation after COVID-19 Vaccinations in Patients with Epilepsy
#6361,10.1002/brb3.3587,38940313,PMC11212002,,Ganelin-Cohen 2024,2024,Brain Behav,The effect of COVID-19 vaccination on multiple sclerosis activity as reflected by MRI
#7705,10.1097/md.0000000000038771,38941384,,,Küçükerdem 2024,2024,Medicine (Baltimore),Evaluation of menstrual irregularities following COVID-19 infection or vaccination: The impact of COVID anxiety and associated risk factors
#5758,10.1007/s40264-024-01456-y,38949714,PMC11485106,,delaCueva 2024,2024,Drug Saf,"Enhanced Safety Surveillance of GSK's Inactivated Quadrivalent Seasonal Influenza Vaccine in Belgium, Germany, and Spain During the 2022/2023 Influenza Season"
#7774,10.1080/21645515.2024.2368681,38953297,PMC11221462,,Lafleur 2024,2024,Hum Vaccin Immunother,Omission of alcohol skin cleansing and risk of adverse events in long-term care residents undergoing COVID-19 vaccination: A cohort study
#2667,10.1016/j.jiac.2024.06.023,38959995,,,Nakayama 2025,2025,J Infect Chemother,"The efficacy and safety of a quadrivalent live attenuated influenza nasal vaccine in Japanese children: A phase 3, randomized, placebo-controlled study"
#763,10.1093/infdis/jiae342,38970327,PMC11793055,,Chime 2025,2025,J Infect Dis,"Phase 3 Study Assessing Lot-to-Lot Consistency of Respiratory Syncytial Virus Prefusion Protein F3 Vaccine and Its Immune Response, Safety, and Reactogenicity When Co-administered With Quadrivalent Influenza Vaccine"
#5191,10.1007/s40121-024-00985-4,38981954,PMC11266338,,Buynak 2024,2024,Infectious Diseases and Therapy,"Randomized, Open-Label Phase 3 Study Evaluating Immunogenicity, Safety, and Reactogenicity of RSVPreF3 OA Coadministered with FLU-QIV-HD in Adults Aged ≥ 65"
#5779,10.3389/fmed.2024.1338317,38983365,PMC11231098,,de-la-Plaza-San-Frutos 2024,2024,Frontiers in Medicine,Effects of vaccination against COVID-19 on overactive bladder symptoms on young population
#8092,10.21315/mjms2024.31.3.10,38984235,PMC11229573,,Lin 2024,2024,Malaysian Journal of Medical Sciences,Risk Factors Associated with Cutaneous Reactions Following COVID-19 Vaccine Immunisation: A Registry-Based Case-Control Study
#7598,10.24171/j.phrp.2024.0081,38988090,PMC11391368,,Ko 2024,2024,Osong Public Health and Research Perspectives,Comparative safety of monovalent and bivalent mRNA COVID-19 booster vaccines in adolescents aged 12 to 17 years in the Republic of Korea
#8588,10.1097/aog.0000000000005670,38991216,,,Metz 2024,2024,Obstet Gynecol,Post-Acute Sequelae of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) After Infection During Pregnancy
#5488,10.1093/eurheartj/ehae335,38993069,,,Choi 2024,2024,Eur Heart J,Thromboembolism after coronavirus disease 2019 vaccination in atrial fibrillation/flutter: a self-controlled case series study
#2008,10.1016/j.therap.2024.06.003,38997859,,,Lacroix 2025,2025,Therapie,"COVACPREG, a French prospective cohort study of women vaccinated against COVID-19 during pregnancy"
#16712,10.3390/healthcare12131250,38998785,PMC11241583,,Lu 2024,2024,Healthcare (Basel),Preliminary Report of Nationwide COVID-19 Vaccine Compensation in Taiwan
#7421,10.1016/j.resinv.2024.07.004,39002293,,,Kawana 2024,2024,Respir Investig,Augmented humoral response to third and fourth dose of SARS-CoV-2 mRNA vaccines in lung transplant recipients
#9295,10.1016/j.vaccine.2024.06.057,39003104,,,Pham-Huy 2024,2024,Vaccine,Short- and long-term outcomes of cardiac adverse events following COVID-19 immunization managed in a Canadian pediatric center
#7142,10.1016/j.vaccine.2024.07.031,39004527,,,Jajou 2024,2024,Vaccine,GP consultations for menstrual disorders after COVID-19 vaccination - A self-controlled cohort study based on routine healthcare data from the Netherlands
#7743,10.3892/etm.2024.12626,39006455,PMC11240278,,Kuwano 2024,2024,Experimental and Therapeutic Medicine,Diagnostic features of autoimmune hepatitis in SARS_CoV_2_vaccinated vs. unvaccinated individuals
#8025,10.2196/51007,39008362,PMC11287098,,Li 2024,2024,JMIR Public Health Surveill,Adverse Events of COVID-19 Vaccines in the United States: Temporal and Spatial Analysis
#19019,10.1093/ofid/ofae370,39015348,PMC11250225,,Tartof 2024,2024,Open Forum Infect Dis,Effectiveness of BNT162b2 XBB Vaccine Against XBB and JN.1 Sublineages
#7943,10.1093/infdis/jiae364,39028664,,,Levy 2024,2024,J Infect Dis,Reduced Likelihood of Hospitalization With the JN.1 or HV.1 Severe Acute Respiratory Syndrome Coronavirus 2 Variants Compared With the EG.5 Variant
#11603,10.1111/irv.13331,39031876,PMC11190946,,ZornozaMoreno 2024,2024,Influenza Other Respir Viruses,"Adverse Effects Related to Paediatric Influenza Vaccination and Its Influence on Vaccination Acceptability. The FLUTETRA Study: A Survey Conducted in the Region of Murcia, Spain"
#8238,10.1001/jamanetworkopen.2024.23926,39037818,PMC11265121,,Lu 2024,2024,JAMA Netw Open,"Stroke After Influenza Vaccines in Older Adults in the US, 2016 to 2019"
#7297,10.1038/s41467-024-50656-8,39039113,PMC11263712,,Jung 2024,2024,Nat Commun,"Long-term risk of autoimmune diseases after mRNA-based SARS-CoV2 vaccination in a Korean, nationwide, population-based cohort study"
#5811,10.1111/jce.16372,39039649,,,Deshmukh 2024,2024,J Cardiovasc Electrophysiol,Association between COVID-19 vaccination and atrial arrhythmias in individuals with cardiac implantable electronic devices
#10550,10.1016/j.jvacx.2024.100516,39040886,PMC11260603,,Tetsuka 2024,2024,VACCINE: X,Adverse events of COVID-19 vaccination during 2021–2022 suppressed by breakfast consumption and favorable sleeping habit among Japanese university students
#6193,10.1007/s11739-024-03641-4,39042210,,,Ferrari 2024,2024,Intern Emerg Med,Medical occurrence and safety of SARS-CoV-2 vaccination outside of the hospital setting
#9105,10.1007/s00266-024-04274-w,39046483,,,Padilla-Pantoja 2024,2024,Aesthetic Plast Surg,Temporary Delayed Hypersensitivity Reaction to Botulinum Toxin-A After COVID-19 Vaccination: A Case Series
#4933,10.1093/infdis/jiad508,39052718,PMC11272042,,Bennett 2024,2024,J Infect Dis,Immunogenicity and Safety of Heterologous Omicron BA.1 and Bivalent SARS-CoV-2 Recombinant Spike Protein Booster Vaccines: A Phase 3 Randomized Clinical Trial
#6167,10.1093/infdis/jiad539,39052720,PMC11272077,,Fell 2024,2024,J Infect Dis,"Effectiveness of Influenza Vaccination During Pregnancy Against Laboratory-Confirmed Seasonal Influenza Among Infants Under 6 Months of Age in Ontario, Canada"
#33721,10.3390/vaccines12070790,39066428,PMC11281408,,Mundorf 2024,2024,Vaccines (Basel),Clinical and Diagnostic Features of Post-Acute COVID-19 Vaccination Syndrome (PACVS)
#9701,10.3390/vaccines12070802,39066440,PMC11281689,,Rousculp 2024,2024,Vaccines (Basel),"Reactogenicity Differences between Adjuvanted, Protein-Based and Messenger Ribonucleic Acid (mRNA)-Based COVID-19 Vaccines"
#8703,10.1007/s40264-024-01462-0,39068268,PMC11485117,,Morciano 2024,2024,Drug Saf,Acute Appendicitis After COVID-19 Vaccines in Italy: A Self-Controlled Case Series Study
#11385,10.2147/IJGM.S467586,39070223,PMC11283260,,Zahrani 2024,2024,International Journal of General Medicine,"Occurrence of Myopericarditis Following COVID-19 Vaccination Among Adults in the Eastern Region, Saudi Arabia: A Multicenter Study"
#15356,10.7759/cureus.63410,39070394,PMC11283873,,Hikichi 2024,2024,Cureus,Comparison of Transient and Persistent Adverse Events After COVID-19 Vaccination: A Retrospective Analysis
#11376,10.1016/j.jcv.2024.105718,39079210,PMC11384212,,Yunker 2024,2024,J Clin Virol,"Genomic evolution of influenza during the 2023-2024 season, the johns hopkins health system"
#7078,10.1038/s41467-024-49634-x,39085208,PMC11291640,,Ip 2024,2024,Nat Commun,Cohort study of cardiovascular safety of different COVID-19 vaccination doses among 46 million adults in England
#6208,10.1016/j.eclinm.2024.102720,39091673,PMC11293523,,Figueroa 2024,2024,eClinicalMedicine,Safety and durability of mRNA-1273–induced SARS-CoV-2 immune responses in adolescents: results from the phase 2/3 TeenCOVE trial
#17692,10.12669/pjms.40.7.8709,39092064,PMC11255808,,Parveen 2024,2024,Pak J Med Sci,COVID-19 vaccination and menstrual disturbances: A prospective study from Pakistan
#7882,10.1016/j.mayocp.2024.03.026,39093271,,,Lee 2024,2024,Mayo Clin Proc,COVID-19 Vaccination-Related Pericarditis: A Korean Nationwide Study
#11312,10.1016/j.amjoto.2024.104448,39096568,PMC11634645,,Yih 2024,2024,Am J Otolaryngol,Tinnitus after COVID-19 vaccination: Findings from the vaccine adverse event reporting system and the vaccine safety datalink
#5532,10.1093/cid/ciae365,39099085,PMC11478588,,Clark 2024,2024,Clin Infect Dis,Safety and Immunogenicity of Respiratory Syncytial Virus Prefusion F Protein Vaccine when Co-administered with Adjuvanted Seasonal Quadrivalent Influenza Vaccine in Older Adults: A Phase 3 Randomized Trial
#6180,10.1093/cid/ciae364,39099093,PMC11478578,,Ferguson 2024,2024,Clin Infect Dis,Noninferior Immunogenicity and Consistent Safety of Respiratory Syncytial Virus Prefusion F Protein Vaccine in Adults 50-59 Years Compared to ≥60 Years of Age
#4340,10.2147/IJGM.S466838,39100722,PMC11297544,,Abukhalil 2024,2024,International Journal of General Medicine,COVID-19 Vaccines Breakthrough Infections and Adverse Effects Reported by the Birzeit University Community in Palestine
#3634,10.1016/j.jiac.2024.07.025,39103148,,,Takada 2025,2025,J Infect Chemother,SARS-CoV-2 mRNA vaccine-related myocarditis and pericarditis: An analysis of the Japanese Adverse Drug Event Report database
#32816,10.1093/cid/ciae405,39107255,,,Ma 2024,2024,Clin Infect Dis,"Effectiveness of Updated 2023-2024 (Monovalent XBB.1.5) COVID-19 Vaccination Against SARS-CoV-2 Omicron XBB and BA.2.86/JN.1 Lineage Hospitalization and a Comparison of Clinical Severity-IVY Network, 26 Hospitals, October 18, 2023-March 9, 2024"
#17350,10.1016/j.heliyon.2024.e34347,39108860,PMC11301373,,Namiki 2024,2024,Heliyon,Comparison of adverse events following the second/third dose of BNT162b2 in a medical institute in Japan
#6376,10.1016/j.vaccine.2024.126182,39116486,,,Gao 2024,2024,Vaccine,"Lot-to-lot consistency, immunogenicity and safety of a quadrivalent split virion inactivated influenza vaccine in healthy population aged 9-59 years: A randomized, double-blind, controlled, phase IV clinical trial"
#5888,10.1016/j.ijid.2024.107202,39122207,,,Domnich 2024,2024,Int J Infect Dis,Influenza epidemiology and vaccine effectiveness during the 2023/2024 season in Italy: A test-negative case-control study
#5400,10.3390/jcm13154494,39124761,PMC11313347,,Chen 2024,2024,Journal of Clinical Medicine,De Novo Biopsy-Proven Glomerular Disease Following COVID-19 Vaccination
#11227,10.3389/fpubh.2024.1406315,39139673,PMC11320210,,Yamamoto 2024,2024,Front Public Health,Group of longitudinal adverse event patterns after the fourth dose of COVID-19 vaccination with a latent class analysis
#8672,10.1212/wnl.0000000000209662,39141880,,,Moisset 2024,2024,Neurology,Risk of Relapse After COVID-19 Vaccination Among Patients With Multiple Sclerosis in France: A Self-Controlled Case Series
#7400,10.7774/cevr.2024.13.3.218,39144130,PMC11319113,,Katatbeh 2024,2024,Clinical and Experimental Vaccine Research,Incidence of narcolepsy symptoms after taking COVID-19 vaccines: a Jordanian cross-sectional study
#4633,10.1111/irv.13360,39145535,PMC11325250,,Antunes 2024,2024,Influenza Other Respir Viruses,"Early COVID-19 XBB.1.5 Vaccine Effectiveness Against Hospitalisation Among Adults Targeted for Vaccination, VEBIS Hospital Network, Europe, October 2023-January 2024"
#9319,10.1089/vim.2024.0019,39149804,,,Pinto 2024,2024,Viral Immunol,Comparison of Adverse Events and Antibody Responses Among Different COVID-19 Vaccination Schedules
#9228,10.1016/j.jadohealth.2024.06.023,39152975,PMC11490362,,Payne 2024,2024,J Adolesc Health,A Prospective Study of the Relationship of COVID-19 Vaccination to Menstrual Cycle Characteristics in Adolescent Girls
#4960,10.1093/cid/ciae420,39158584,PMC11650855,,Berthaud 2024,2024,Clin Infect Dis,Safety and Immunogenicity of an mRNA-1273 Booster in Children
#17515,10.1111/1756-185x.15294,39171515,,,Oh 2024,2024,Int J Rheum Dis,"Global burden of vaccine-associated rheumatic diseases and their related vaccines, 1967-2023: A comprehensive analysis of the international pharmacovigilance database"
#8873,10.1093/ehjcvp/pvae063,39174484,,,Nazar 2024,2024,Eur Heart J Cardiovasc Pharmacother,Cardiac adverse drug reactions to COVID-19 vaccines. A cross-sectional study based on the Europe-wide data
#6561,10.3389/fphar.2024.1376474,39175548,PMC11338880,,GranjaLópez 2024,2024,Frontiers in Pharmacology,Neurological manifestations of immune origin after COVID-19 vaccination: retrospective case study
#10114,10.1016/j.vaccine.2024.126241,39178768,,,Shinjoh 2024,2024,Vaccine,Effectiveness of inactivated influenza vaccine in children during the 2023/24 season: The first season after relaxation of intensive COVID-19 measures
#1629,10.1016/j.ajo.2024.08.015,39179130,,,Hwang 2025,2025,Am J Ophthalmol,COVID-19 Vaccination and Ocular Adverse Events: A Self-Controlled Case Series Study From the Entire South Korean Population
#19817,10.1038/s43856-024-00588-7,39181950,PMC11344792,,Yechezkel 2024,2024,Commun Med (Lond),Comparison of physiological and clinical reactions to COVID-19 and influenza vaccination
#18485,10.1001/jama.2024.16380,39186694,PMC11348078,,Semenzato 2024,2024,Jama,"Long-Term Prognosis of Patients With Myocarditis Attributed to COVID-19 mRNA Vaccination, SARS-CoV-2 Infection, or Conventional Etiologies"
#6099,10.3390/ijerph21081090,39200699,PMC11354165,,Esteban-Cledera 2024,2024,Int J Environ Res Public Health,"Association between COVID-19 Vaccines and Menstrual Disorders: Retrospective Cohort Study of Women Aged 12-55 Years Old in Catalonia, Spain"
#8394,10.3390/medicina60081343,39202624,PMC11356762,,Manniche 2024,2024,Medicina (Kaunas),Reports of Batch-Dependent Suspected Adverse Events of the BNT162b2 mRNA COVID-19 Vaccine: Comparison of Results from Denmark and Sweden
#11585,10.3390/vaccines12080935,39204058,PMC11360506,,Zhu 2024,2024,Vaccines,Immunogenicity and Safety of an Inactivated Quadrivalent Influenza Vaccine Administered Concomitantly with a 23-Valent Pneumococcal Polysaccharide Vaccine in Adults Aged 60 Years and Older
#5255,10.1016/s2352-4642(24)00171-8,39208832,,,Carbajal 2024,2024,Lancet Child Adolesc Health,"Real-world effectiveness of nirsevimab immunisation against bronchiolitis in infants: a case-control study in Paris, France"
#8593,10.1080/21645515.2024.2394255,39208849,PMC11364069,,Mi 2024,2024,Hum Vaccin Immunother,"Real-world effectiveness of influenza vaccine against medical-attended influenza infection during 2023/24 season in Ili Kazakh Autonomous Prefecture, China: A test-negative, case-control study"
#4774,10.1038/s41467-024-50376-z,39209823,PMC11362294,,Baden 2024,2024,Nat Commun,Long-term safety and effectiveness of mRNA-1273 vaccine in adults: COVE trial open-label and booster phases
#10568,10.1093/cid/ciad458,39219510,PMC10724468,,Thomas 2023,2023,Clin Infect Dis,Comparison of Two High-Dose Versus Two Standard-Dose Influenza Vaccines in Adult Allogeneic Hematopoietic Cell Transplant Recipients
#4837,10.3389/fpubh.2024.1441786,39220460,PMC11361977,,BarbasDelBuey 2024,2024,Front Public Health,The effectiveness of nirsevimab in reducing the burden of disease due to respiratory syncytial virus (RSV) infection over time in the Madrid region (Spain): a prospective population-based cohort study
#6372,10.1093/ofid/ofae456,39220659,PMC11365065,,Gào 2024,2024,Open Forum Infectious Diseases,"Population-Based Influenza Vaccine Effectiveness Against Laboratory-Confirmed Influenza Infection in Southern China, 2023-2024 Season"
#8481,10.1177/20503121241272518,39220747,PMC11363057,,Matsuzono 2024,2024,SAGE Open Medicine,Effect of COVID 19 pandemic on the neurology department hospitalization with analysis of the neurological complications secondary to COVID 19 and vaccination against COVID 19
#2023,10.1080/23744235.2024.2399108,39226235,,,Lambo 2025,2025,Infect Dis (Lond),"The descriptive epidemiology of adverse events following two doses of mRNA COVID-19 vaccination in Curaçao, the Caribbean"
#10420,10.1001/jama.2024.15775,39230920,PMC11375516,,Surie 2024,2024,Jama,RSV Vaccine Effectiveness Against Hospitalization Among US Adults 60 Years and Older
#7847,10.1038/s41467-024-52038-6,39232036,PMC11374778,,LeVu 2024,2024,Nat Commun,Influence of mRNA Covid-19 vaccine dosing interval on the risk of myocarditis
#5478,10.1002/pds.70006,39238434,,,Cho 2024,2024,Pharmacoepidemiol Drug Saf,Association Between Influenza Vaccination and Acute Kidney Injury Among the Elderly: A Self-Controlled Case Series
#11107,10.1016/j.vaccine.2024.126290,39241357,PMC12136157,,Woo 2024,2024,Vaccine,Syncope after live attenuated influenza vaccine: Reports to the Vaccine Adverse Event Reporting System (2003-2024)
#5023,10.1016/j.vaccine.2024.126305,39244425,,,Blasco 2024,2024,Vaccine,Association of SARS-CoV-2 immunoserology and vaccination status with myocardial infarction severity and outcome
#9013,10.1016/j.jamda.2024.105251,39245233,,,Okoye 2024,2024,J Am Med Dir Assoc,Delirium Incidence and Predictors in SARS-CoV-2 Vaccinated Residents in Long-Term Care Facilities (LTCF): Insights from the GeroCovid Vax Study
#2762,10.5858/arpa.2024-0095-OA,39246098,,,Obeng 2025,2025,Arch Pathol Lab Med,Histologic Features of Liver Injury Associated With SARS-CoV-2 Messenger RNA Vaccines
#1109,10.1007/s00592-024-02372-4,39254746,,,Engelbogen 2025,2025,Acta Diabetol,SARS-CoV-2 booster vaccination does not worsen glycemia in people with type 1 diabetes using insulin pumps: an observational study
#5883,10.1542/peds.2024-066508,39257380,,,Domachowske 2024,2024,Pediatrics,Safety and Pharmacokinetics of Nirsevimab in Immunocompromised Children
#8982,10.29399/npa.28418,39258123,PMC11382557,,Öcek 2024,2024,Noropsikiyatri Arsivi,Evaluation of Clinical Effects of COVID-19 Infection and Vaccines on Myasthenia Gravis
#9546,10.1016/j.vaccine.2024.126256,39260053,PMC11911014,,Regan 2024,2024,Vaccine,Maternal influenza vaccination and associated risk of fetal loss: A claims-based prospective cohort study
#10752,10.1016/j.vaccine.2024.126273,39276619,,,vanHeesbeen 2024,2024,Vaccine,"Immunogenicity and safety of different dose levels of Ad26.RSV.preF/RSV preF protein vaccine in adults aged 60 years and older: A randomized, double-blind, placebo-controlled, phase 2a study"
#328,10.1093/infdis/jiae454,39279435,PMC11793066,,Bahakel 2025,2025,J Infect Dis,Immunogenicity and Reactogenicity of High- or Standard-Dose Influenza Vaccine in a Second Consecutive Influenza Season
#8569,10.1111/1471-0528.17949,39279662,,,Mensah 2024,2024,Bjog,"COVID-19 Vaccine Safety in Pregnancy, A Nested Case-Control Study in Births From April 2021 to March 2022, England"
#9241,10.1007/s12026-024-09540-2,39285049,,,Pekdiker 2024,2024,Immunol Res,ASIA syndrome after BNT162b2 vaccination: Is it a distinct rheumatoid arthritis phenotype?
#13419,10.1177/10781552241285034,39285730,,,BenKridis 2024,2024,J Oncol Pharm Pract,Local and systemic side effects of COVID-19 vaccine in Tunisian cancer patients: A prospective single center study
#1913,10.1080/09286586.2024.2399345,39288331,,,Kim 2025,2025,Ophthalmic Epidemiol,Retinal Vascular Occlusions After COVID-19 Vaccination in South Korea: A Nation-Wide Population-Based Study
#7139,10.1016/j.eclinm.2024.102809,39290640,PMC11406334,,Jain 2024,2024,eClinicalMedicine,Cardiac manifestations and outcomes of COVID-19 vaccine-associated myocarditis in the young in the USA: longitudinal results from the Myocarditis After COVID Vaccination (MACiV) multicenter study
#10431,10.1093/ofid/ofae495,39290777,PMC11406745,,Swift 2024,2024,Open Forum Infectious Diseases,"Association of COVID-19 Vaccination With Risk of Medically Attended Postacute Sequelae of COVID-19 During the Ancestral, Alpha, Delta, and Omicron Variant Eras"
#448,10.1016/j.therap.2024.08.002,39294069,,,Beurrier 2025,2025,Therapie,Retinal vascular occlusion after COVID-19 vaccination: Analysis of the French pharmacovigilance database
#13702,10.1016/j.eclinm.2024.102815,39296584,PMC11408803,,Camporesi 2024,2024,EClinicalMedicine,Characteristics and predictors of Long Covid in children: a 3-year prospective cohort study
#6443,10.1001/jamanetworkopen.2024.34857,39298167,PMC11413712,,Getahun 2024,2024,JAMA Netw Open,Safety of the Seasonal Influenza Vaccine in 2 Successive Pregnancies
#6266,10.1016/j.vaccine.2024.126375,39298999,,,Fotakis 2024,2024,Vaccine,Impact of the 2023/24 autumn-winter COVID-19 seasonal booster campaign in preventing severe COVID-19 cases in Italy (October 2023-March 2024)
#9233,10.4103/singaporemedj.SMJ-2023-258,39324928,,,Peck 2024,2024,Singapore Med J,Anaphylaxis post-COVID-19 vaccinations in Singapore
#6794,10.15585/mmwr.mm7338a1,39325677,PMC11563568,,Havers 2024,2024,MMWR Morb Mortal Wkly Rep,"COVID-19-Associated Hospitalizations and Maternal Vaccination Among Infants Aged <6 Months - COVID-NET, 12 States, October 2022-April 2024"
#8693,10.1186/s13293-024-00651-x,39327617,PMC11426002,,Moor 2024,2024,Biol Sex Differ,Sex differences in symptoms following the administration of BNT162b2 mRNA COVID-19 vaccine in children below 5 years of age in Germany (CoVacU5): a retrospective cohort study
#1212,10.1016/s1473-3099(24)00501-2,39332418,,,Figueroa 2025,2025,Lancet Infect Dis,"Safety and immunogenicity of a single-dose omicron-containing COVID-19 vaccination in adolescents: an open-label, single-arm, phase 2/3 trial"
#9582,10.3390/vaccines12090971,39340003,PMC11435866,,Reynolds 2024,2024,Vaccines (Basel),Short-Term Active Safety Surveillance of the Spikevax and Nuvaxovid Priming Doses in Australia
#6947,10.3390/vaccines12090983,39340015,PMC11435606,,Hrycek 2024,2024,Vaccines,The Influence of SARS-CoV-2 Vaccination on the Mortality and Outcomes of Patients with Both Myocardial Infarction and COVID-19
#9320,10.3390/vaccines12091016,39340046,PMC11436231,,Pira 2024,2024,Vaccines,COVID-19 Vaccine: A Potential Risk Factor for Accelerating the Onset of Bullous Pemphigoid
#7564,10.1016/j.jinf.2024.106293,39343245,,,Kirwan 2024,2024,J Infect,Protection of vaccine boosters and prior infection against mild/asymptomatic and moderate COVID-19 infection in the UK SIREN healthcare worker cohort: October 2023 to March 2024
#4932,10.1016/j.jinf.2024.106285,39343247,,,Bennett 2024,2024,J Infect,Immunogenicity and safety of SARS-CoV-2 recombinant spike protein vaccine in South African people living with and without HIV-1 infection: A phase 2 randomised trial
#5393,10.1111/irv.13357,39343986,PMC11439586,,Chemaitelly 2024,2024,Influenza Other Respir Viruses,BNT162b2 Versus mRNA-1273 Vaccines: Comparative Analysis of Long-Term Protection Against SARS-CoV-2 Infection and Severe COVID-19 in Qatar
#4039,10.1093/eurheartj/ehae639,39344920,PMC11704415,,Xu 2025,2025,Eur Heart J,Cardiovascular events following coronavirus disease 2019 vaccination in adults: a nationwide Swedish study
#11414,10.15585/mmwr.mm7339a1,39361525,PMC11449270,,Zeno 2024,2024,MMWR Morb Mortal Wkly Rep,"Interim Effectiveness Estimates of 2024 Southern Hemisphere Influenza Vaccines in Preventing Influenza-Associated Hospitalization - REVELAC-i Network, Five South American Countries, March-July 2024"
#10522,10.15585/mmwr.mm7339a2,39361542,PMC11449267,,Taylor 2024,2024,MMWR Morb Mortal Wkly Rep,"COVID-19-Associated Hospitalizations Among U.S. Adults Aged ≥18 Years - COVID-NET, 12 States, October 2023-April 2024"
#7951,10.1038/s41467-024-52668-w,39362845,PMC11450198,,Lewnard 2024,2024,Nat Commun,Immune escape and attenuated severity associated with the SARS-CoV-2 BA.2.86/JN.1 lineage
#9276,10.2807/1560-7917.Es.2024.29.40.2400618,39364601,,,Pérez-Gimeno 2024,2024,Euro Surveill,"Effectiveness of influenza vaccines in children aged 6 to 59 months: a test-negative case-control study at primary care and hospital level, Spain 2023/24"
#22595,10.1159/000541797,39369714,PMC11805550,,Kyung 2025,2025,Med Princ Pract,"Global and Regional Burden of Vaccine-Associated Erythema Multiforme and Their Related Vaccines, 1967-2023: An In-Depth Analysis of the World Health Organization Pharmacovigilance Database"
#7105,10.1038/s41598-024-73004-8,39375365,PMC11458568,,Itamochi 2024,2024,Sci Rep,COVID-19 mRNA booster vaccination induces robust antibody responses but few adverse events among SARS-CoV-2 naïve nursing home residents
#11335,10.3201/eid3011.240610,39378869,PMC11521192,,Yoon 2024,2024,Emerg Infect Dis,"Risk for Facial Palsy after COVID-19 Vaccination, South Korea, 2021-2022"
#7737,10.24953/turkjpediatr.2024.4512,39387432,,,Kurucu 2024,2024,Turk J Pediatr,Safety and efficacy of COVID-19 vaccines in children and adolescents with cancer
#9334,10.23736/s0026-4806.24.09379-0,39392292,,,P_atkowska-Adamska 2024,2024,Minerva Med,BNT162b2 vaccine booster dose did not influence the activity of the exudative form of age-related macular degeneration during anti-vascular endothelial growth factor therapy
#5609,10.1016/j.tjnut.2024.09.032,39396761,PMC11662230,,Couvillion 2024,2024,J Nutr,Associations between SARS-CoV-2 Infection or COVID-19 Vaccination and Human Milk Composition: A Multi-Omics Approach
#10617,10.1016/j.vaccine.2024.126445,39413493,,,Top 2024,2024,Vaccine,Participant-reported neurological events following immunization in the Canadian National Vaccine Safety Network-COVID-19 vaccine (CANVAS-COVID) study
#7327,10.1016/j.jaut.2024.103325,39413503,,,Kälin 2024,2024,J Autoimmun,SARS-CoV-2 mRNA vaccines do not worsen autoimmunity in patients with autoimmune liver diseases
#9734,10.1016/j.medcli.2024.07.023,39414550,,,RuzafaMartinez 2024,2024,Med Clin (Barc),Vaccine effectiveness in patients admitted for influenza during the 2023-2024 season
#6318,10.1016/j.jiph.2024.102562,39418956,,,Fuller 2024,2024,J Infect Public Health,"Sex, vaccination status, and comorbidities influence long COVID persistence"
#5193,10.1038/s41598-024-73940-5,39420039,PMC11487014,,Byoun 2024,2024,Sci Rep,Nationwide Cohort observational study on the safety and efficacy of COVID-19 vaccination in patients with Moyamoya disease
#4476,10.2147/IJWH.S472953,39421715,PMC11484768,,Alawfi 2024,2024,International Journal of Women's Health,Health of Saudi Women in the Post-Pandemic Era: Candidiasis Incidence and Post COVID-19 and COVID-19-Vaccination
#9227,10.1016/s0140-6736(24)01738-0,39426837,,,Payne 2024,2024,Lancet,"Respiratory syncytial virus (RSV) vaccine effectiveness against RSV-associated hospitalisations and emergency department encounters among adults aged 60 years and older in the USA, October, 2023, to March, 2024: a test-negative design analysis"
#7190,10.1038/s41598-024-74729-2,39427003,PMC11490553,,Jeong 2024,2024,Sci Rep,Global burden of vaccine-associated Guillain-Barré syndrome over 170 countries from 1967 to 2023
#7370,10.1186/s12889-024-20297-z,39434043,PMC11495130,,Karam 2024,2024,BMC Public Health,Serious adverse events following immunization with COVID-19 vaccines in Lebanon: a retrospective analysis of the National Pharmacovigilance Database
#7545,10.3349/ymj.2023.0354,39439166,PMC11519129,,Kim 2024,2024,Yonsei Med J,Clinical Manifestations and Adverse Cardiovascular Events in Patients with Cardiovascular Symptoms after mRNA Coronavirus Disease 2019 Vaccines
#10043,10.1016/j.vaccine.2024.126440,39442285,,,Sharff 2024,2024,Vaccine,Incidence of ischemic stroke after COVID-19 bivalent booster vaccination in an integrated health system
#11375,10.1017/s0950268824001213,39444354,,,Yun 2024,2024,Epidemiol Infect,The impact of COVID-19 status and vaccine type following the first dose on acute heart disease: A nationwide retrospective cohort study in South Korea
#7666,10.1080/21645515.2024.2416329,39445787,PMC11508945,,Kothari 2024,2024,Hum Vaccin Immunother,"A prospective, randomized, parallel, active controlled, phase III Indian study of immunogenicity and safety of two inactivated influenza vaccines - Vaxiflu-4 and Fluarix tetra in children aged 6 months to 35 months"
