"Record ID","Domain(s) covered in the article (choice=Adverse events (vaccine safety))","Domain(s) covered in the article (choice=Vaccine effectiveness)","Domain(s) covered in the article (choice=Co-administration)","Domain(s) covered in the article (choice=Epidemiology)"
575,Unchecked,Checked,Unchecked,Unchecked
576,Checked,Unchecked,Unchecked,Unchecked
577,Checked,Unchecked,Unchecked,Unchecked
578,Checked,Unchecked,Unchecked,Unchecked
579,Checked,Unchecked,Unchecked,Unchecked
580,Checked,Checked,Unchecked,Unchecked
581,Checked,Unchecked,Unchecked,Unchecked
582,Unchecked,Checked,Unchecked,Unchecked
583,Unchecked,Checked,Unchecked,Unchecked
584,Checked,Unchecked,Unchecked,Unchecked
585,Unchecked,Checked,Unchecked,Unchecked
586,Checked,Unchecked,Checked,Unchecked
587,Unchecked,Checked,Unchecked,Unchecked
588,Unchecked,Checked,Unchecked,Unchecked
589,Checked,Unchecked,Checked,Unchecked
590,Checked,Unchecked,Unchecked,Unchecked
591,Checked,Unchecked,Unchecked,Unchecked
592,Checked,Unchecked,Unchecked,Unchecked
593,Checked,Unchecked,Unchecked,Unchecked
594,Unchecked,Checked,Unchecked,Checked
595,Unchecked,Unchecked,Unchecked,Checked
596,Checked,Unchecked,Checked,Unchecked
597,Unchecked,Unchecked,Unchecked,Unchecked
598,Checked,Unchecked,Unchecked,Unchecked
599,Checked,Unchecked,Unchecked,Unchecked
600,Unchecked,Checked,Unchecked,Unchecked
601,Checked,Unchecked,Unchecked,Unchecked
602,Checked,Unchecked,Unchecked,Unchecked
603,Checked,Unchecked,Unchecked,Unchecked
604,Checked,Unchecked,Unchecked,Unchecked
605,Checked,Unchecked,Unchecked,Unchecked
606,Checked,Unchecked,Unchecked,Unchecked
607,Checked,Unchecked,Unchecked,Unchecked
608,Checked,Unchecked,Unchecked,Unchecked
609,Unchecked,Unchecked,Unchecked,Checked
610,Checked,Unchecked,Unchecked,Unchecked
611,Checked,Unchecked,Unchecked,Unchecked
612,Checked,Unchecked,Unchecked,Unchecked
613,Unchecked,Checked,Unchecked,Unchecked
614,Checked,Unchecked,Unchecked,Unchecked
615,Unchecked,Checked,Unchecked,Unchecked
616,Unchecked,Unchecked,Checked,Unchecked
617,Unchecked,Checked,Unchecked,Unchecked
618,Unchecked,Checked,Unchecked,Unchecked
619,Unchecked,Checked,Unchecked,Unchecked
620,Checked,Unchecked,Unchecked,Unchecked
621,Unchecked,Checked,Unchecked,Checked
622,Checked,Unchecked,Unchecked,Unchecked
623,Checked,Unchecked,Unchecked,Unchecked
624,Checked,Unchecked,Unchecked,Unchecked
625,Unchecked,Unchecked,Unchecked,Unchecked
626,Unchecked,Unchecked,Unchecked,Unchecked
627,Unchecked,Checked,Unchecked,Unchecked
628,Unchecked,Checked,Unchecked,Unchecked
629,Unchecked,Checked,Unchecked,Unchecked
630,Unchecked,Unchecked,Unchecked,Checked
631,Unchecked,Checked,Unchecked,Unchecked
632,Unchecked,Checked,Unchecked,Unchecked
633,Checked,Unchecked,Unchecked,Unchecked
634,Checked,Unchecked,Unchecked,Unchecked
635,Checked,Unchecked,Unchecked,Unchecked
636,Unchecked,Unchecked,Unchecked,Checked
637,Checked,Unchecked,Checked,Unchecked
638,Checked,Unchecked,Unchecked,Unchecked
639,Checked,Unchecked,Unchecked,Unchecked
640,Checked,Unchecked,Checked,Unchecked
641,Checked,Unchecked,Unchecked,Unchecked
642,Checked,Unchecked,Unchecked,Unchecked
643,Checked,Unchecked,Checked,Unchecked
