"id_redcap","id_covidence","study_label","article","virus","population","outcome","study_design","rob","adjusted","estimate","lower","upper","country","us","study_setting","study_period","year_start","year_end","vax_product","age_group","days_since_vax","published_year","journal","pmid","pmcid","doi","link","title"
350,"#1735","Jiang 2025","Jiang 2025","Influenza","Infant/Child","Medically-attended infection","Case-control","High",1,57,49,64,"China",0,,"2023-2024",2023,2024,"Seasonal",,,2025,"Emerg Microbes Infect",40192342,"PMC12164376","10.1080/22221751.2025.2490531","https://pmc.ncbi.nlm.nih.gov/articles/PMC12164376","Influenza vaccine effectiveness among primary and secondary school students in Shenzhen during the 2023/24 influenza season"
296,"#1265","Frutos 2025, NVSN","Frutos 2025","Influenza","Infant/Child","Medically-attended infection","Case-control","Low",1,59,47,68,"US",1,"Multi-center","2024-2025",2024,2025,"Seasonal",,,2025,"MMWR Morb Mortal Wkly Rep",40014791,"PMC11867582","10.15585/mmwr.mm7406a2","https://pmc.ncbi.nlm.nih.gov/articles/PMC11867582","Interim Estimates of 2024-2025 Seasonal Influenza Vaccine Effectiveness - Four Vaccine Effectiveness Networks, United States, October 2024-February 2025"
296,"#1265","Frutos 2025, US Flu VE","Frutos 2025","Influenza","Infant/Child","Medically-attended infection","Case-control","Low",1,32,1,54,"US",1,"Multi-center","2024-2025",2024,2025,"Seasonal",,,2025,"MMWR Morb Mortal Wkly Rep",40014791,"PMC11867582","10.15585/mmwr.mm7406a2","https://pmc.ncbi.nlm.nih.gov/articles/PMC11867582","Interim Estimates of 2024-2025 Seasonal Influenza Vaccine Effectiveness - Four Vaccine Effectiveness Networks, United States, October 2024-February 2025"
296,"#1265","Frutos 2025, VISION","Frutos 2025","Influenza","Infant/Child","Medically-attended infection","Case-control","Low",1,60,56,63,"US",1,"Multi-center","2024-2025",2024,2025,"Seasonal",,,2025,"MMWR Morb Mortal Wkly Rep",40014791,"PMC11867582","10.15585/mmwr.mm7406a2","https://pmc.ncbi.nlm.nih.gov/articles/PMC11867582","Interim Estimates of 2024-2025 Seasonal Influenza Vaccine Effectiveness - Four Vaccine Effectiveness Networks, United States, October 2024-February 2025"
253,"#21056","Chung 2025","Chung 2025","Influenza","Infant/Child","Medically-attended infection","Case-control","Low",1,68,51,79,"US",1,"Flu VE Network","2023-2024",2023,2024,"Seasonal",,,2025,"Clin Infect Dis",39761230,"PMC12287938","10.1093/cid/ciae658","https://pmc.ncbi.nlm.nih.gov/articles/PMC12287938","Influenza vaccine effectiveness against medically attended outpatient illness, United States, 2023-24 season"
166,"#24","Abou Chakra 2025","Abou Chakra 2025","Influenza","Infant/Child","Medically-attended infection","Case-control","Low",1,82,46,93,"France",0,"Multi-center","2023-2024",2023,2024,"Seasonal",,,2025,"Emerg Microbes Infect",40071892,"PMC11980197","10.1080/22221751.2025.2466699","https://pmc.ncbi.nlm.nih.gov/articles/PMC11980197","Vaccine effectiveness dynamics against influenza and SARS-CoV-2 in community-tested patients in France 2023-2024"
299,"#6372","Gào 2024","Gao 2024","Influenza","Infant/Child","Medically-attended infection","Case-control","Low",1,46,43,49,"China",0,"Multi-center","2023-2024",2023,2024,"Seasonal",,,2024,"Open Forum Infectious Diseases",39220659,"PMC11365065","10.1093/ofid/ofae456","https://pmc.ncbi.nlm.nih.gov/articles/PMC11365065","Population-Based Influenza Vaccine Effectiveness Against Laboratory-Confirmed Influenza Infection in Southern China, 2023-2024 Season"
445,"#8593","Mi 2024","Mi 2024","Influenza","Infant/Child","Medically-attended infection","Case-control","Moderate",1,63,33,80,"China",0,"Multi-center","2024-2024",2024,2024,"Seasonal",,,2024,"Hum Vaccin Immunother",39208849,"PMC11364069","10.1080/21645515.2024.2394255","https://pmc.ncbi.nlm.nih.gov/articles/PMC11364069","Real-world effectiveness of influenza vaccine against medical-attended influenza infection during 2023/24 season in Ili Kazakh Autonomous Prefecture, China: A test-negative, case-control study"
617,"#11574","Zhu 2024","Zhu 2024","Influenza","Infant/Child","Medically-attended infection","Case-control","Moderate",1,56,54,57,"US",1,"Multi-center","2023-2024",2023,2024,"Seasonal",,,2024,"MMWR Morb Mortal Wkly Rep",38421946,"PMC10907038","10.15585/mmwr.mm7308a4","https://pmc.ncbi.nlm.nih.gov/articles/PMC10907038","Interim Influenza Vaccine Effectiveness Against Laboratory-Confirmed Influenza - California, October 2023-January 2024"
619,"#4272","Zhu 2025, A","Zhu 2025","Influenza","Infant/Child","Medically-attended infection","Case-control","Low",1,32,19,43,"China",0,"Single-center","2021-2024",2021,2024,"Seasonal",,,2025,"Vaccines",39852783,"PMC11768588","10.3390/vaccines13010004","https://pmc.ncbi.nlm.nih.gov/articles/PMC11768588","Evaluation of Influenza Vaccine Effectiveness from 2021 to 2024: A Guangdong-Based Test-Negative CaseControl Study"
618,"#25499","Zhu 2025, B","Zhu 2025","Influenza","Infant/Child","Medically-attended infection","Case-control","Low",1,53,51,54,"US",1,"Population-based","2023-2024",2023,2024,"Seasonal",,,2025,"J Infect Dis",40359401,"PMC12353657","10.1093/infdis/jiaf248","https://pmc.ncbi.nlm.nih.gov/articles/PMC12353657","Estimating Influenza Vaccine Effectiveness Against Laboratory-Confirmed Influenza Using Linked Public Health Information Systems, California, 2023-2024 Season"
615,"#4195","Zhang 2025","Zhang 2025","Influenza","Infant/Child","Medically-attended infection","Case-control","Moderate",1,51,5,75,"China",0,"Multi-center","2023-2024",2023,2024,"Seasonal",,,2025,"Vaccine",39731809,,"10.1016/j.vaccine.2024.126662","https://pubmed.ncbi.nlm.nih.gov/39731809","Moderate effectiveness of influenza vaccine in outpatient settings: A test-negative study in Beijing, China, 2023/24 season"
613,"#11414","Zeno 2024","Zeno 2024","Influenza","Infant/Child","Medically-attended infection","Case-control","Low",1,39,26,50,"South America",0,"REVELAC-i network","2024-2024",2024,2024,"Seasonal",,,2024,"MMWR Morb Mortal Wkly Rep",39361525,"PMC11449270","10.15585/mmwr.mm7339a1","https://pmc.ncbi.nlm.nih.gov/articles/PMC11449270","Interim Effectiveness Estimates of 2024 Southern Hemisphere Influenza Vaccines in Preventing Influenza-Associated Hospitalization - REVELAC-i Network, Five South American Countries, March-July 2024"
541,"#10228","Skowronski 2024","Skowronski 2024","Influenza","Infant/Child","Medically-attended infection","Case-control","Low",1,60,34,76,"Canada",0,"Sentinel Practitioner Surveillance Network","2023-2024",2023,2024,"Mixed",,,2024,"Euro Surveill",38362622,,"10.2807/1560-7917.Es.2024.29.7.2400076","https://pubmed.ncbi.nlm.nih.gov/38362622","2023/24 mid-season influenza and Omicron XBB.1.5 vaccine effectiveness estimates from the Canadian Sentinel Practitioner Surveillance Network (SPSN)"
544,"#10254","Smolarchuk 2024","Smolarchuk 2024","Influenza","Infant/Child","Medically-attended infection","Case-control","Low",1,74,66,99,"Canada",0,,"2023-2023",2023,2023,"Mixed",,,2024,"Euro Surveill",38214082,,"10.2807/1560-7917.Es.2024.29.2.2300709","https://pubmed.ncbi.nlm.nih.gov/38214082","Early influenza vaccine effectiveness estimates using routinely collected data, Alberta, Canada, 2023/24 season"
632,"#39262","Nguyen 2025","Nguyen 2025","Influenza","Infant/Child","Medically-attended infection","Case-control","Low",1,69,52,81,"US",1,"Multi-center","2023-2024",2023,2024,"Mixed",,,2025,"J Pediatric Infect Dis Soc",40736196,"PMC12392406","10.1093/jpids/piaf069","https://pmc.ncbi.nlm.nih.gov/articles/PMC12392406","Effectiveness of cell culture-based influenza vaccine, 2023-2024"
549,"#3602","Sun 2025","Sun 2025","Influenza","Infant/Child","Medically-attended infection","Case-control","Moderate",1,58,15,81,"China",0,,"2024-2025",2024,2025,"IIV",,,2025,"Euro Surveill",39980425,,"10.2807/1560-7917.Es.2025.30.7.2500084","https://pubmed.ncbi.nlm.nih.gov/39980425","Early vaccine effectiveness estimates against medically attended laboratory-confirmed influenza based on influenza surveillance, Beijing, China, 2024/25 season"
253,"#21056","Chung 2025","Chung 2025","Influenza","Child","Medically-attended infection","Case-control","Low",1,59,35,75,"US",1,"Flu VE Network","2023-2024",2023,2024,"Seasonal",,,2025,"Clin Infect Dis",39761230,"PMC12287938","10.1093/cid/ciae658","https://pmc.ncbi.nlm.nih.gov/articles/PMC12287938","Influenza vaccine effectiveness against medically attended outpatient illness, United States, 2023-24 season"
166,"#24","Abou Chakra 2025","Abou Chakra 2025","Influenza","Child","Medically-attended infection","Case-control","Low",1,56,32,72,"France",0,"Multi-center","2023-2024",2023,2024,"Seasonal",,,2025,"Emerg Microbes Infect",40071892,"PMC11980197","10.1080/22221751.2025.2466699","https://pmc.ncbi.nlm.nih.gov/articles/PMC11980197","Vaccine effectiveness dynamics against influenza and SARS-CoV-2 in community-tested patients in France 2023-2024"
299,"#6372","Gào 2024","Gao 2024","Influenza","Child","Medically-attended infection","Case-control","Low",1,38.6,35.7,41.5,"China",0,"Multi-center","2023-2024",2023,2024,"Seasonal",,,2024,"Open Forum Infectious Diseases",39220659,"PMC11365065","10.1093/ofid/ofae456","https://pmc.ncbi.nlm.nih.gov/articles/PMC11365065","Population-Based Influenza Vaccine Effectiveness Against Laboratory-Confirmed Influenza Infection in Southern China, 2023-2024 Season"
445,"#8593","Mi 2024","Mi 2024","Influenza","Child","Medically-attended infection","Case-control","Moderate",1,-23,-56,35,"China",0,"Multi-center","2024-2024",2024,2024,"Seasonal",,,2024,"Hum Vaccin Immunother",39208849,"PMC11364069","10.1080/21645515.2024.2394255","https://pmc.ncbi.nlm.nih.gov/articles/PMC11364069","Real-world effectiveness of influenza vaccine against medical-attended influenza infection during 2023/24 season in Ili Kazakh Autonomous Prefecture, China: A test-negative, case-control study"
434,"#8432","Marron 2024","Marron 2024","Influenza","Child","Medically-attended infection","Case-control","Low",1,68,30,87,"Ireland",0,"Multi-center","2023-2024",2023,2024,"Seasonal",,,2024,"Influenza Other Respir Viruses",39623514,"PMC11611713","10.1111/irv.70023","https://pmc.ncbi.nlm.nih.gov/articles/PMC11611713","Influenza Vaccine Effectiveness Against Symptomatic Influenza in Primary Care: A Test Negative Case Control Study Over Two Influenza Seasons 2022/2023 and 2023/2024 in Ireland"
615,"#4195","Zhang 2025","Zhang 2025","Influenza","Child","Medically-attended infection","Case-control","Moderate",1,34,21,44,"China",0,"Multi-center","2023-2024",2023,2024,"Seasonal",,,2025,"Vaccine",39731809,,"10.1016/j.vaccine.2024.126662","https://pubmed.ncbi.nlm.nih.gov/39731809","Moderate effectiveness of influenza vaccine in outpatient settings: A test-negative study in Beijing, China, 2023/24 season"
544,"#10254","Smolarchuk 2024","Smolarchuk 2024","Influenza","Child","Medically-attended infection","Case-control","Low",1,62,32,78,"Canada",0,,"2023-2023",2023,2023,"Mixed",,,2024,"Euro Surveill",38214082,,"10.2807/1560-7917.Es.2024.29.2.2300709","https://pubmed.ncbi.nlm.nih.gov/38214082","Early influenza vaccine effectiveness estimates using routinely collected data, Alberta, Canada, 2023/24 season"
585,"#19530","Whitaker 2024, GB-PC","Whitaker 2024","Influenza","Child","Medically-attended infection","Case-control","Moderate",1,65,41,79,"England, Scotland, Wales",0,"Multi-center","2023-2024",2023,2024,"Mixed",,,2024,"Influenza Other Respir Viruses",38773753,"PMC11109477","10.1111/irv.13284","https://pmc.ncbi.nlm.nih.gov/articles/PMC11109477","Interim 2023/2024 Season Influenza Vaccine Effectiveness in Primary and Secondary Care in the United Kingdom"
585,"#19530","Whitaker 2024, EN-H","Whitaker 2024","Influenza","Child","Medically-attended infection","Case-control","Moderate",1,63,46,75,"England, Scotland, Wales",0,"Multi-center","2023-2024",2023,2024,"Mixed",,,2024,"Influenza Other Respir Viruses",38773753,"PMC11109477","10.1111/irv.13284","https://pmc.ncbi.nlm.nih.gov/articles/PMC11109477","Interim 2023/2024 Season Influenza Vaccine Effectiveness in Primary and Secondary Care in the United Kingdom"
585,"#19530","Whitaker 2024, SC-H","Whitaker 2024","Influenza","Child","Medically-attended infection","Case-control","Moderate",1,65,52,74,"England, Scotland, Wales",0,"Multi-center","2023-2024",2023,2024,"Mixed",,,2024,"Influenza Other Respir Viruses",38773753,"PMC11109477","10.1111/irv.13284","https://pmc.ncbi.nlm.nih.gov/articles/PMC11109477","Interim 2023/2024 Season Influenza Vaccine Effectiveness in Primary and Secondary Care in the United Kingdom"
549,"#3602","Sun 2025","Sun 2025","Influenza","Child","Medically-attended infection","Case-control","Moderate",1,35,12,52,"China",0,,"2024-2025",2024,2025,"IIV",,,2025,"Euro Surveill",39980425,,"10.2807/1560-7917.Es.2025.30.7.2500084","https://pubmed.ncbi.nlm.nih.gov/39980425","Early vaccine effectiveness estimates against medically attended laboratory-confirmed influenza based on influenza surveillance, Beijing, China, 2024/25 season"
512,"#3168","Rose 2025, Denmark","Rose 2025","Influenza","Adult","Hospitalization","Case-control","High",1,44,28,57,"England, Northern Ireland, Scotland, Denmark",0,"Multi-center","2024-2025",2024,2025,"Mixed",,,2025,"Euro Surveill",39980423,,"10.2807/1560-7917.Es.2025.30.7.2500102","https://pubmed.ncbi.nlm.nih.gov/39980423","Interim 2024/25 influenza vaccine effectiveness: eight European studies, September 2024 to January 2025"
512,"#3168","Rose 2025, England","Rose 2025","Influenza","Adult","Hospitalization","Case-control","High",1,53,46,59,"England, Northern Ireland, Scotland, Denmark",0,"Multi-center","2024-2025",2024,2025,"Mixed",,,2025,"Euro Surveill",39980423,,"10.2807/1560-7917.Es.2025.30.7.2500102","https://pubmed.ncbi.nlm.nih.gov/39980423","Interim 2024/25 influenza vaccine effectiveness: eight European studies, September 2024 to January 2025"
512,"#3168","Rose 2025, EU","Rose 2025","Influenza","Adult","Hospitalization","Case-control","High",1,52,16,74,"England, Northern Ireland, Scotland, Denmark",0,"Multi-center","2024-2025",2024,2025,"Mixed",,,2025,"Euro Surveill",39980423,,"10.2807/1560-7917.Es.2025.30.7.2500102","https://pubmed.ncbi.nlm.nih.gov/39980423","Interim 2024/25 influenza vaccine effectiveness: eight European studies, September 2024 to January 2025"
512,"#3168","Rose 2025, Northern Ireland","Rose 2025","Influenza","Adult","Hospitalization","Case-control","High",1,72,39,87,"England, Northern Ireland, Scotland, Denmark",0,"Multi-center","2024-2025",2024,2025,"Mixed",,,2025,"Euro Surveill",39980423,,"10.2807/1560-7917.Es.2025.30.7.2500102","https://pubmed.ncbi.nlm.nih.gov/39980423","Interim 2024/25 influenza vaccine effectiveness: eight European studies, September 2024 to January 2025"
512,"#3168","Rose 2025, Scotland","Rose 2025","Influenza","Adult","Hospitalization","Case-control","High",1,28,13,40,"England, Northern Ireland, Scotland, Denmark",0,"Multi-center","2024-2025",2024,2025,"Mixed",,,2025,"Euro Surveill",39980423,,"10.2807/1560-7917.Es.2025.30.7.2500102","https://pubmed.ncbi.nlm.nih.gov/39980423","Interim 2024/25 influenza vaccine effectiveness: eight European studies, September 2024 to January 2025"
296,"#1265","Frutos 2025, IVY","Frutos 2025","Influenza","Adult","Hospitalization","Case-control","Low",1,48,28,63,"US",1,"Multi-center","2024-2025",2024,2025,"Mixed",,,2025,"MMWR Morb Mortal Wkly Rep",40014791,"PMC11867582","10.15585/mmwr.mm7406a2","https://pmc.ncbi.nlm.nih.gov/articles/PMC11867582","Interim Estimates of 2024-2025 Seasonal Influenza Vaccine Effectiveness - Four Vaccine Effectiveness Networks, United States, October 2024-February 2025"
296,"#1265","Frutos 2025, VISION","Frutos 2025","Influenza","Adult","Hospitalization","Case-control","Low",1,51,41,59,"US",1,"Multi-center","2024-2025",2024,2025,"Mixed",,,2025,"MMWR Morb Mortal Wkly Rep",40014791,"PMC11867582","10.15585/mmwr.mm7406a2","https://pmc.ncbi.nlm.nih.gov/articles/PMC11867582","Interim Estimates of 2024-2025 Seasonal Influenza Vaccine Effectiveness - Four Vaccine Effectiveness Networks, United States, October 2024-February 2025"
439,"#8492","Maurel 2024","Maurel 2024","Influenza","Adult","Hospitalization","Case-control","High",1,53,31,68,"Europe",0,"VEBIS network","2023-2024",2023,2024,"Mixed",,,2024,"Euro Surveill",38390651,,"10.2807/1560-7917.Es.2024.29.8.2400089","https://pubmed.ncbi.nlm.nih.gov/38390651","Interim 2023/24 influenza A vaccine effectiveness: VEBIS European primary care and hospital multicentre studies, September 2023 to January 2024"
295,"#6300","Frutos 2024, IVY","Frutos 2024","Influenza","Adult/Elder","Hospitalization","Case-control","Low",1,44,32,54,"US",1,"Multi-center","2023-2024",2023,2024,"Mixed",,,2024,"MMWR Morb Mortal Wkly Rep",38421935,"PMC10907036","10.15585/mmwr.mm7308a3","https://pmc.ncbi.nlm.nih.gov/articles/PMC10907036","Interim Estimates of 2023-24 Seasonal Influenza Vaccine Effectiveness - United States"
295,"#6300","Frutos 2024, VISION","Frutos 2024","Influenza","Adult/Elder","Hospitalization","Case-control","Low",1,41,34,47,"US",1,"Multi-center","2023-2024",2023,2024,"Mixed",,,2024,"MMWR Morb Mortal Wkly Rep",38421935,"PMC10907036","10.15585/mmwr.mm7308a3","https://pmc.ncbi.nlm.nih.gov/articles/PMC10907036","Interim Estimates of 2023-24 Seasonal Influenza Vaccine Effectiveness - United States"
278,"#1117","Erdwiens 2025","Erdwiens 2025","Influenza","Adult/Elder","Hospitalization","Case-control","Low",1,76,27,92,"Germany",0,"Nationwide","2024-2025",2024,2025,"Mixed",,,2025,"Influenza Other Respir Viruses",40328669,"PMC12055342","10.1111/irv.70115","https://pmc.ncbi.nlm.nih.gov/articles/PMC12055342","Interim Estimates of 2024-2025 Seasonal Influenza Vaccine Effectiveness in Germany-Data From Primary Care and Hospital Sentinel Surveillance"
295,"#6300","Frutos 2024, IVY","Frutos 2024","Influenza","Elder","Hospitalization","Case-control","Low",1,42,23,56,"US",1,"Multi-center","2023-2024",2023,2024,"Mixed",,,2024,"MMWR Morb Mortal Wkly Rep",38421935,"PMC10907036","10.15585/mmwr.mm7308a3","https://pmc.ncbi.nlm.nih.gov/articles/PMC10907036","Interim Estimates of 2023-24 Seasonal Influenza Vaccine Effectiveness - United States"
295,"#6300","Frutos 2024, VISION","Frutos 2024","Influenza","Elder","Hospitalization","Case-control","Low",1,42,34,50,"US",1,"Multi-center","2023-2024",2023,2024,"Mixed",,,2024,"MMWR Morb Mortal Wkly Rep",38421935,"PMC10907036","10.15585/mmwr.mm7308a3","https://pmc.ncbi.nlm.nih.gov/articles/PMC10907036","Interim Estimates of 2023-24 Seasonal Influenza Vaccine Effectiveness - United States"
296,"#1265","Frutos 2025, IVY","Frutos 2025","Influenza","Elder","Hospitalization","Case-control","Low",1,38,19,52,"US",1,"Multi-center","2024-2025",2024,2025,"Mixed",,,2025,"MMWR Morb Mortal Wkly Rep",40014791,"PMC11867582","10.15585/mmwr.mm7406a2","https://pmc.ncbi.nlm.nih.gov/articles/PMC11867582","Interim Estimates of 2024-2025 Seasonal Influenza Vaccine Effectiveness - Four Vaccine Effectiveness Networks, United States, October 2024-February 2025"
296,"#1265","Frutos 2025, VISION","Frutos 2025","Influenza","Elder","Hospitalization","Case-control","Low",1,57,52,61,"US",1,"Multi-center","2024-2025",2024,2025,"Mixed",,,2025,"MMWR Morb Mortal Wkly Rep",40014791,"PMC11867582","10.15585/mmwr.mm7406a2","https://pmc.ncbi.nlm.nih.gov/articles/PMC11867582","Interim Estimates of 2024-2025 Seasonal Influenza Vaccine Effectiveness - Four Vaccine Effectiveness Networks, United States, October 2024-February 2025"
406,"#22737","Lewis 2025","Lewis 2025","Influenza","Elder","Hospitalization","Case-control","Low",1,31,16,43,"US",1,"Multi-center","2023-2024",2023,2024,"Mixed",,,2025,"J Infect Dis",40198276,,"10.1093/infdis/jiaf185","https://pubmed.ncbi.nlm.nih.gov/40198276","Vaccine Effectiveness Against Influenza A(H1N1), A(H3N2), and B-Associated Hospitalizations-United States, September 1, 2023-May 31, 2024"
435,"#2405","Martínez-Baz 2025","Martinez-Baz 2025","Influenza","Elder","Hospitalization","Case-control","Low",1,28,6,45,"Spain",0,"Multi-center","2023-2024",2023,2024,"Mixed",,,2025,"Int J Infect Dis",39694231,"PMC11735411","10.1016/j.ijid.2024.107364","https://pmc.ncbi.nlm.nih.gov/articles/PMC11735411","Effectiveness of influenza vaccination in preventing confirmed influenza cases and hospitalizations in Northern Spain, 2023/24 season: A population-based test-negative case-control study"
512,"#3168","Rose 2025, Denmark","Rose 2025","Influenza","Elder","Hospitalization","Case-control","High",1,55,47,62,"England, Northern Ireland, Scotland, Denmark",0,"Multi-center","2024-2025",2024,2025,"Mixed",,,2025,"Euro Surveill",39980423,,"10.2807/1560-7917.Es.2025.30.7.2500102","https://pubmed.ncbi.nlm.nih.gov/39980423","Interim 2024/25 influenza vaccine effectiveness: eight European studies, September 2024 to January 2025"
512,"#3168","Rose 2025, England","Rose 2025","Influenza","Elder","Hospitalization","Case-control","High",1,48,42,53,"England, Northern Ireland, Scotland, Denmark",0,"Multi-center","2024-2025",2024,2025,"Mixed",,,2025,"Euro Surveill",39980423,,"10.2807/1560-7917.Es.2025.30.7.2500102","https://pubmed.ncbi.nlm.nih.gov/39980423","Interim 2024/25 influenza vaccine effectiveness: eight European studies, September 2024 to January 2025"
512,"#3168","Rose 2025, EU","Rose 2025","Influenza","Elder","Hospitalization","Case-control","High",1,49,34,61,"England, Northern Ireland, Scotland, Denmark",0,"Multi-center","2024-2025",2024,2025,"Mixed",,,2025,"Euro Surveill",39980423,,"10.2807/1560-7917.Es.2025.30.7.2500102","https://pubmed.ncbi.nlm.nih.gov/39980423","Interim 2024/25 influenza vaccine effectiveness: eight European studies, September 2024 to January 2025"
512,"#3168","Rose 2025, Northern Ireland","Rose 2025","Influenza","Elder","Hospitalization","Case-control","High",1,52,20,72,"England, Northern Ireland, Scotland, Denmark",0,"Multi-center","2024-2025",2024,2025,"Mixed",,,2025,"Euro Surveill",39980423,,"10.2807/1560-7917.Es.2025.30.7.2500102","https://pubmed.ncbi.nlm.nih.gov/39980423","Interim 2024/25 influenza vaccine effectiveness: eight European studies, September 2024 to January 2025"
512,"#3168","Rose 2025, Scotland","Rose 2025","Influenza","Elder","Hospitalization","Case-control","High",1,29,23,36,"England, Northern Ireland, Scotland, Denmark",0,"Multi-center","2024-2025",2024,2025,"Mixed",,,2025,"Euro Surveill",39980423,,"10.2807/1560-7917.Es.2025.30.7.2500102","https://pubmed.ncbi.nlm.nih.gov/39980423","Interim 2024/25 influenza vaccine effectiveness: eight European studies, September 2024 to January 2025"
439,"#8492","Maurel 2024","Maurel 2024","Influenza","Elder","Hospitalization","Case-control","High",1,36,22,47,"Europe",0,"VEBIS network","2023-2024",2023,2024,"Mixed",,,2024,"Euro Surveill",38390651,,"10.2807/1560-7917.Es.2024.29.8.2400089","https://pubmed.ncbi.nlm.nih.gov/38390651","Interim 2023/24 influenza A vaccine effectiveness: VEBIS European primary care and hospital multicentre studies, September 2023 to January 2024"
307,"#1336","Gharpure 2025, Australia","Gharpure 2025","Influenza","Elder","Hospitalization","Case-control","High",1,59,45,70,"Argentina, Brazil, Chile, Paraguay, Uruguay, Australia, New Zealand, Thailand",0,"Multi-center","2022-2023",2022,2023,"Mixed",,,2025,"Lancet Glob Health",39890222,,"10.1016/s2214-109x(24)00473-x","https://pubmed.ncbi.nlm.nih.gov/39890222","Effectiveness of 2023 southern hemisphere influenza vaccines against severe influenza-associated illness: pooled estimates from eight countries using the test-negative design"
307,"#1336","Gharpure 2025, Brazil","Gharpure 2025","Influenza","Elder","Hospitalization","Case-control","High",1,14,-19,39,"Argentina, Brazil, Chile, Paraguay, Uruguay, Australia, New Zealand, Thailand",0,"Multi-center","2022-2023",2022,2023,"Mixed",,,2025,"Lancet Glob Health",39890222,,"10.1016/s2214-109x(24)00473-x","https://pubmed.ncbi.nlm.nih.gov/39890222","Effectiveness of 2023 southern hemisphere influenza vaccines against severe influenza-associated illness: pooled estimates from eight countries using the test-negative design"
307,"#1336","Gharpure 2025, Chile","Gharpure 2025","Influenza","Elder","Hospitalization","Case-control","High",1,40,12,59,"Argentina, Brazil, Chile, Paraguay, Uruguay, Australia, New Zealand, Thailand",0,"Multi-center","2022-2023",2022,2023,"Mixed",,,2025,"Lancet Glob Health",39890222,,"10.1016/s2214-109x(24)00473-x","https://pubmed.ncbi.nlm.nih.gov/39890222","Effectiveness of 2023 southern hemisphere influenza vaccines against severe influenza-associated illness: pooled estimates from eight countries using the test-negative design"
307,"#1336","Gharpure 2025, New Zealand","Gharpure 2025","Influenza","Elder","Hospitalization","Case-control","High",1,72,35,88,"Argentina, Brazil, Chile, Paraguay, Uruguay, Australia, New Zealand, Thailand",0,"Multi-center","2022-2023",2022,2023,"Mixed",,,2025,"Lancet Glob Health",39890222,,"10.1016/s2214-109x(24)00473-x","https://pubmed.ncbi.nlm.nih.gov/39890222","Effectiveness of 2023 southern hemisphere influenza vaccines against severe influenza-associated illness: pooled estimates from eight countries using the test-negative design"
102,"#19044","Tenforde 2024","Tenforde 2024","Influenza","Elder","Hospitalization","Case-control","Low",1,36,31,41,"US",1,"Multi-center","2023-2024",2023,2024,"IIV",,,2024,"Clin Infect Dis",39656838,"PMC12287760","10.1093/cid/ciae597","https://pmc.ncbi.nlm.nih.gov/articles/PMC12287760","Influenza vaccine effectiveness against hospitalizations and emergency department or urgent care encounters for children, adolescents, and adults during the 2023-2024 season, United States"
276,"#1107","Emborg 2025","Emborg 2025","Influenza","Elder","Hospitalization","Case-control","Low",1,36,23,47,"Denmark",0,"Nationwide","2024-2025",2024,2025,"IIV",,,2025,"Euro Surveill",40156348,,"10.2807/1560-7917.Es.2025.30.12.2500174","https://pubmed.ncbi.nlm.nih.gov/40156348","Enhanced influenza vaccines impact effectiveness in individuals aged 65 years and older, Denmark, 2024/25 influenza season up to 4 March 2025"
539,"#3434","Silva-Afonso 2025","Silva-Afonso 2025","Influenza","Elder","Hospitalization","Case-control","Low",1,39,15,56,"Spain",0,"Single-center","2022-2024",2022,2024,"Mixed",,,2025,"ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA",40467410,,"10.1016/j.eimc.2025.03.006","https://pubmed.ncbi.nlm.nih.gov/40467410","Effectiveness of immunization strategies for preventing severe acute respiratory infection during the 2023/2024 season in a Spanish health department"
248,"#5489","Choi 2024","Choi 2024","Influenza","Adult","Medically-attended infection","Case-control","High",1,24.3,5.3,39.5,"South Korea",0,"Multi-center","2023-2023",2023,2023,"Other/combined",,,2024,"J Korean Med Sci",38651226,"PMC11035711","10.3346/jkms.2024.39.e146","https://pmc.ncbi.nlm.nih.gov/articles/PMC11035711","Interim Estimates of 2023-2024 Seasonal Influenza Vaccine Effectiveness Among Adults in Korea"
278,"#1117","Erdwiens 2025","Erdwiens 2025","Influenza","Adult","Medically-attended infection","Case-control","Low",1,6,-65,46,"Germany",0,"Nationwide","2024-2025",2024,2025,"Other/combined",,,2025,"Influenza Other Respir Viruses",40328669,"PMC12055342","10.1111/irv.70115","https://pmc.ncbi.nlm.nih.gov/articles/PMC12055342","Interim Estimates of 2024-2025 Seasonal Influenza Vaccine Effectiveness in Germany-Data From Primary Care and Hospital Sentinel Surveillance"
296,"#1265","Frutos 2025, Flu VE","Frutos 2025","Influenza","Adult","Medically-attended infection","Case-control","Low",1,37,16,53,"US",1,"Multi-center","2024-2025",2024,2025,"Other/combined",,,2025,"MMWR Morb Mortal Wkly Rep",40014791,"PMC11867582","10.15585/mmwr.mm7406a2","https://pmc.ncbi.nlm.nih.gov/articles/PMC11867582","Interim Estimates of 2024-2025 Seasonal Influenza Vaccine Effectiveness - Four Vaccine Effectiveness Networks, United States, October 2024-February 2025"
